Avg_Temperature_C,Energy_Consumption_kWh
10.0,12.047619047619047
10.1,13.8
10.2,10.181818181818182
10.3,10.7125
10.4,14.190000000000001
10.5,12.55
10.6,13.022222222222222
10.7,11.4875
10.8,14.51304347826087
10.9,11.226086956521739
11.0,10.437931034482759
11.1,10.565217391304348
11.2,11.88695652173913
11.3,13.8
11.4,9.789473684210526
11.5,9.947058823529412
11.6,12.934375
11.7,11.55
11.8,11.601886792452829
11.9,11.489830508474576
12.0,12.288333333333332
12.1,11.09
12.2,12.10677966101695
12.3,11.867901234567901
12.4,12.812941176470588
12.5,10.613636363636363
12.6,12.451282051282051
12.7,11.75612244897959
12.8,12.646825396825397
12.9,12.74017094017094
13.0,12.403539823008849
13.1,11.842567567567567
13.2,11.958433734939758
13.3,11.328476821192053
13.4,12.081005586592179
13.5,12.602415458937196
13.6,11.58546255506608
13.7,11.583574879227054
13.8,12.41822033898305
13.9,12.138492063492064
14.0,12.042857142857143
14.1,12.055305466237941
14.2,12.48839590443686
14.3,11.778983050847458
14.4,11.855792682926829
14.5,11.862702702702702
14.6,12.081073446327682
14.7,11.859398496240601
14.8,12.588641975308642
14.9,11.586304909560722
15.0,12.26712643678161
15.1,12.063574660633485
15.2,11.95847619047619
15.3,12.111374407582938
15.4,11.80375234521576
15.5,12.19937369519833
15.6,12.267811934900543
15.7,12.161862917398945
15.8,12.099821109123434
15.9,12.31952861952862
16.0,12.609760273972604
16.1,12.011035653650255
16.2,12.456112852664576
16.3,12.408223684210526
16.4,12.563650075414783
16.5,12.414098837209302
16.6,12.046423562412343
16.7,12.375366568914956
16.8,12.20968660968661
16.9,12.209707241910632
17.0,12.741566265060241
17.1,12.409650349650349
17.2,12.30756062767475
17.3,12.486095505617978
17.4,12.258152173913043
17.5,12.385734265734264
17.6,12.80569230769231
17.7,12.884840425531914
17.8,12.628400597907325
17.9,12.61399416909621
18.0,12.608823529411765
18.1,12.444037940379404
18.2,12.827606461086638
18.3,12.617448680351906
18.4,12.13855421686747
18.5,12.291096979332274
18.6,12.76973293768546
18.7,12.793249607535323
18.8,12.55023923444976
18.9,12.500511945392493
19.0,12.538969404186796
19.1,13.141483979763912
19.2,12.784074074074073
19.3,12.658333333333333
19.4,12.441254752851712
19.5,12.420477137176938
19.6,13.047619047619047
19.7,12.925932835820896
19.8,13.006711409395972
19.9,13.33663967611336
20.0,13.395414847161573
20.1,13.02886075949367
20.2,13.23628808864266
20.3,13.02076923076923
20.4,12.940350877192984
20.5,13.310557184750731
20.6,12.732608695652173
20.7,13.041016949152542
20.8,13.166323024054984
20.9,12.999290780141845
21.0,12.99433962264151
21.1,12.537918215613383
21.2,12.941850220264318
21.3,12.429203539823009
21.4,13.237560975609755
21.5,13.059999999999999
21.6,13.054487179487179
21.7,12.595477386934673
21.8,13.112041884816755
21.9,14.23939393939394
22.0,13.02125
22.1,12.862745098039216
22.2,13.06796875
22.3,13.927027027027028
22.4,12.9
22.5,14.532954545454546
22.6,12.892523364485982
22.7,13.122093023255815
22.8,12.98235294117647
22.9,14.34179104477612
23.0,12.82878787878788
23.1,14.122727272727273
23.2,13.339024390243901
23.3,12.185714285714287
23.4,13.486666666666666
23.5,13.372499999999999
23.6,12.973333333333333
23.7,12.196774193548388
23.8,13.09189189189189
23.9,14.163157894736843
24.0,11.508333333333333
24.1,13.98709677419355
24.2,13.716666666666667
24.3,15.47777777777778
24.4,14.85
24.5,16.216666666666665
24.6,15.666666666666666
24.7,11.863636363636363
24.8,10.633333333333333
24.9,18.55
25.0,13.079411764705881
