Avg_Temperature_C,Energy_Consumption_kWh,Household_Size,Peak_Hours_Usage_kWh
10.0,12.047619047619047,3.507936507936508,5.401587301587302
10.1,13.8,4.090909090909091,6.3
10.2,10.181818181818182,3.090909090909091,4.5636363636363635
10.3,10.7125,3.125,4.66875
10.4,14.190000000000001,4.1,6.51
10.5,12.55,3.7,5.68
10.6,13.022222222222222,3.7222222222222223,5.866666666666666
10.7,11.4875,3.25,5.15625
10.8,14.51304347826087,4.130434782608695,6.560869565217391
10.9,11.226086956521739,3.347826086956522,5.143478260869565
11.0,10.437931034482759,3.1724137931034484,4.675862068965517
11.1,10.565217391304348,3.347826086956522,4.739130434782608
11.2,11.88695652173913,3.4782608695652173,5.369565217391305
11.3,13.8,3.9722222222222223,6.1194444444444445
11.4,9.789473684210526,2.8157894736842106,4.4605263157894735
11.5,9.947058823529412,2.8823529411764706,4.423529411764706
11.6,12.934375,3.78125,5.740625
11.7,11.55,3.46,5.26
11.8,11.601886792452829,3.3207547169811322,5.122641509433962
11.9,11.489830508474576,3.3559322033898304,5.067796610169491
12.0,12.288333333333332,3.55,5.475
12.1,11.09,3.242857142857143,5.041428571428571
12.2,12.10677966101695,3.4745762711864407,5.408474576271187
12.3,11.867901234567901,3.4074074074074074,5.31358024691358
12.4,12.812941176470588,3.6941176470588237,5.752941176470588
12.5,10.613636363636363,3.118181818181818,4.725454545454545
12.6,12.451282051282051,3.6324786324786325,5.5606837606837605
12.7,11.75612244897959,3.4693877551020407,5.295918367346939
12.8,12.646825396825397,3.6825396825396823,5.723015873015873
12.9,12.74017094017094,3.658119658119658,5.718803418803419
13.0,12.403539823008849,3.5929203539823007,5.538938053097345
13.1,11.842567567567567,3.4527027027027026,5.335135135135135
13.2,11.958433734939758,3.4819277108433737,5.421686746987952
13.3,11.328476821192053,3.271523178807947,5.125827814569536
13.4,12.081005586592179,3.558659217877095,5.446368715083799
13.5,12.602415458937196,3.676328502415459,5.661352657004831
13.6,11.58546255506608,3.3612334801762116,5.222907488986784
13.7,11.583574879227054,3.347826086956522,5.254106280193236
13.8,12.41822033898305,3.555084745762712,5.586864406779661
13.9,12.138492063492064,3.5515873015873014,5.413095238095238
14.0,12.042857142857143,3.494208494208494,5.44942084942085
14.1,12.055305466237941,3.527331189710611,5.429903536977492
14.2,12.48839590443686,3.583617747440273,5.590102389078498
14.3,11.778983050847458,3.3728813559322033,5.335254237288136
14.4,11.855792682926829,3.4390243902439024,5.335670731707316
14.5,11.862702702702702,3.4567567567567568,5.3432432432432435
14.6,12.081073446327682,3.522598870056497,5.467231638418079
14.7,11.859398496240601,3.4837092731829573,5.386215538847117
14.8,12.588641975308642,3.6790123456790123,5.671604938271605
14.9,11.586304909560722,3.3850129198966408,5.22609819121447
15.0,12.26712643678161,3.5517241379310347,5.547586206896551
15.1,12.063574660633485,3.502262443438914,5.461764705882353
15.2,11.95847619047619,3.4895238095238095,5.413904761904762
15.3,12.111374407582938,3.5260663507109005,5.468957345971564
15.4,11.80375234521576,3.375234521575985,5.304127579737336
15.5,12.19937369519833,3.4926931106471817,5.501461377870563
15.6,12.267811934900543,3.5316455696202533,5.544484629294756
15.7,12.161862917398945,3.500878734622144,5.459929701230228
15.8,12.099821109123434,3.483005366726297,5.435778175313059
15.9,12.31952861952862,3.548821548821549,5.565824915824916
16.0,12.609760273972604,3.589041095890411,5.682534246575342
16.1,12.011035653650255,3.432937181663837,5.412733446519525
16.2,12.456112852664576,3.5689655172413794,5.595297805642634
16.3,12.408223684210526,3.5213815789473686,5.564309210526315
16.4,12.563650075414783,3.5776772247360484,5.640723981900453
16.5,12.414098837209302,3.5305232558139537,5.590988372093023
16.6,12.046423562412343,3.4179523141654977,5.394810659186536
16.7,12.375366568914956,3.4912023460410557,5.579032258064516
16.8,12.20968660968661,3.4458689458689458,5.495868945868946
16.9,12.209707241910632,3.453004622496148,5.482434514637904
17.0,12.741566265060241,3.608433734939759,5.741265060240964
